Time (ns), NARMA Output (Float), Bits
50000, 0.000000, x, x, x, x, x, x, x, x, x, x
150000, 1.000000, x, x, x, x, x, x, x, x, x, x
250000, 1.000000, x, x, x, x, x, x, x, x, x, x
350000, 1.500000, x, x, x, x, x, x, x, x, x, x
450000, 52.699219, x, x, x, x, x, x, x, x, x, x
550000, 27.349609, x, x, x, x, x, x, x, x, x, x
650000, 49.548828, x, x, x, x, x, x, x, x, x, x
750000, 22.870117, x, x, x, x, x, x, x, x, x, x
850000, 24.706055, x, x, x, x, x, x, x, x, x, x
950000, 63.837891, x, x, x, x, x, x, x, x, x, x
1050000, 5.162109, x, x, x, x, x, x, x, x, x, x
1150000, 44.537109, x, x, x, x, x, x, x, x, x, x
1250000, 8.614258, x, x, x, x, x, x, x, x, x, x
1350000, 9.405273, x, x, x, x, x, x, x, x, x, x
1450000, 18.399414, x, x, x, x, x, x, x, x, x, x
1550000, 52.574219, x, x, x, x, x, x, x, x, x, x
1650000, 60.641602, x, x, x, x, x, x, x, x, x, x
1750000, 50.418945, x, x, x, x, x, x, x, x, x, x
1850000, 47.083984, x, x, x, x, x, x, x, x, x, x
1950000, 47.067383, x, x, x, x, x, x, x, x, x, x
2050000, 58.554688, x, x, x, x, x, x, x, x, x, x
2150000, 39.016602, x, x, x, x, x, x, x, x, x, x
2250000, 3.338867, x, x, x, x, x, x, x, x, x, x
2350000, 62.692383, x, x, x, x, x, x, x, x, x, x
2450000, 34.713867, x, x, x, x, x, x, x, x, x, x
2550000, 5.481445, x, x, x, x, x, x, x, x, x, x
2650000, 25.721680, x, x, x, x, x, x, x, x, x, x
2750000, 4.983398, x, x, x, x, x, x, x, x, x, x
2850000, 61.833008, x, x, x, x, x, x, x, x, x, x
2950000, 32.220703, x, x, x, x, x, x, x, x, x, x
3050000, 61.455078, x, x, x, x, x, x, x, x, x, x
3150000, 30.455078, x, x, x, x, x, x, x, x, x, x
3250000, 30.209961, x, x, x, x, x, x, x, x, x, x
3350000, 59.968750, x, x, x, x, x, x, x, x, x, x
3450000, 7.386719, x, x, x, x, x, x, x, x, x, x
3550000, 52.994141, x, x, x, x, x, x, x, x, x, x
3650000, 34.966797, x, x, x, x, x, x, x, x, x, x
3750000, 18.189453, x, x, x, x, x, x, x, x, x, x
3850000, 1.017578, x, x, x, x, x, x, x, x, x, x
3950000, 2.334961, x, x, x, x, x, x, x, x, x, x
4050000, 22.017578, x, x, x, x, x, x, x, x, x, x
4150000, 28.534180, x, x, x, x, x, x, x, x, x, x
4250000, 54.421875, x, x, x, x, x, x, x, x, x, x
4350000, 49.659180, x, x, x, x, x, x, x, x, x, x
4450000, 42.617188, x, x, x, x, x, x, x, x, x, x
4550000, 39.300781, x, x, x, x, x, x, x, x, x, x
4650000, 14.385742, x, x, x, x, x, x, x, x, x, x
4750000, 61.642578, x, x, x, x, x, x, x, x, x, x
4850000, 9.947266, x, x, x, x, x, x, x, x, x, x
4950000, 11.830078, x, x, x, x, x, x, x, x, x, x
5050000, 48.958984, x, x, x, x, x, x, x, x, x, x
5150000, 39.806641, x, x, x, x, x, x, x, x, x, x
5250000, 36.980469, x, x, x, x, x, x, x, x, x, x
5350000, 0.242188, x, x, x, x, x, x, x, x, x, x
5450000, 2.205078, x, x, x, x, x, x, x, x, x, x
5550000, 57.693359, x, x, x, x, x, x, x, x, x, x
5650000, 27.188477, x, x, x, x, x, x, x, x, x, x
5750000, 47.812500, x, x, x, x, x, x, x, x, x, x
5850000, 11.776367, x, x, x, x, x, x, x, x, x, x
5950000, 46.866211, x, x, x, x, x, x, x, x, x, x
6050000, 30.861328, x, x, x, x, x, x, x, x, x, x
6150000, 42.717773, x, x, x, x, x, x, x, x, x, x
6250000, 55.305664, x, x, x, x, x, x, x, x, x, x
6350000, 20.735352, x, x, x, x, x, x, x, x, x, x
6450000, 17.932617, x, x, x, x, x, x, x, x, x, x
6550000, 56.936523, x, x, x, x, x, x, x, x, x, x
6650000, 49.890625, x, x, x, x, x, x, x, x, x, x
6750000, 18.394531, x, x, x, x, x, x, x, x, x, x
6850000, 10.164062, x, x, x, x, x, x, x, x, x, x
6950000, 50.915039, x, x, x, x, x, x, x, x, x, x
7050000, 3.156250, x, x, x, x, x, x, x, x, x, x
7150000, 44.680664, x, x, x, x, x, x, x, x, x, x
7250000, 25.615234, x, x, x, x, x, x, x, x, x, x
7350000, 1.346680, x, x, x, x, x, x, x, x, x, x
7450000, 62.212891, x, x, x, x, x, x, x, x, x, x
7550000, 2.447266, x, x, x, x, x, x, x, x, x, x
7650000, 34.087891, x, x, x, x, x, x, x, x, x, x
7750000, 38.846680, x, x, x, x, x, x, x, x, x, x
7850000, 25.280273, x, x, x, x, x, x, x, x, x, x
7950000, 57.554688, x, x, x, x, x, x, x, x, x, x
8050000, 51.735352, x, x, x, x, x, x, x, x, x, x
8150000, 5.231445, x, x, x, x, x, x, x, x, x, x
8250000, 6.115234, x, x, x, x, x, x, x, x, x, x
