Time (ns), NARMA Output (Float), Bits
50000,0.000000,0
150000,1.000000,0
250000,1.000000,0
350000,1.500000,0
450000,52.699219,11111111111111111111111111
550000,27.349609,1111111111111
650000,49.548828,111111111111111111111111
750000,22.870117,11111111111
850000,24.706055,111111111111
950000,63.837891,1111111111111111111111111111111
1050000,5.162109,11
1150000,42.511719,111111111111111111111
1250000,10.020508,11111
1350000,59.871094,11111111111111111111111111111
1450000,10.763672,11111
1550000,53.183594,11111111111111111111111111
1650000,37.578125,111111111111111111
1750000,37.943359,111111111111111111
1850000,57.050781,1111111111111111111111111111
1950000,30.795898,111111111111111
2050000,18.088867,111111111
2150000,28.563477,11111111111111
2250000,18.475586,111111111
2350000,58.470703,11111111111111111111111111111
2450000,23.975586,11111111111
2550000,51.974609,1111111111111111111111111
2650000,4.963867,11
2750000,34.887695,11111111111111111
2850000,57.670898,1111111111111111111111111111
2950000,57.340820,1111111111111111111111111111
3050000,23.357422,11111111111
3150000,49.743164,111111111111111111111111
3250000,22.440430,11111111111
3350000,62.604492,1111111111111111111111111111111
3450000,22.800781,11111111111
3550000,12.407227,111111
3650000,26.430664,1111111111111
3750000,9.784180,1111
3850000,54.685547,111111111111111111111111111
3950000,16.759766,11111111
4050000,31.961914,111111111111111
4150000,40.427734,11111111111111111111
4250000,19.392578,111111111
4350000,6.039062,111
4450000,50.147461,1111111111111111111111111
4550000,51.164062,1111111111111111111111111
4650000,60.410156,111111111111111111111111111111
4750000,51.041016,1111111111111111111111111
4850000,46.203125,11111111111111111111111
4950000,1.166016,0
5050000,44.319336,1111111111111111111111
5150000,5.596680,11
5250000,43.998047,111111111111111111111
5350000,41.323242,11111111111111111111
5450000,46.571289,11111111111111111111111
5550000,38.037109,1111111111111111111
5650000,37.364258,111111111111111111
5750000,30.515625,111111111111111
5850000,43.778320,111111111111111111111
5950000,41.873047,11111111111111111111
6050000,15.348633,1111111
6150000,52.396484,11111111111111111111111111
6250000,47.093750,11111111111111111111111
6350000,60.471680,111111111111111111111111111111
6450000,14.801758,1111111
6550000,5.158203,11
6650000,63.829102,1111111111111111111111111111111
6750000,58.504883,11111111111111111111111111111
6850000,30.241211,111111111111111
6950000,10.515625,11111
7050000,7.223633,111
7150000,28.029297,11111111111111
7250000,24.337891,111111111111
7350000,41.007812,11111111111111111111
7450000,57.917969,1111111111111111111111111111
7550000,43.410156,111111111111111111111
7650000,43.761719,111111111111111111111
7750000,15.295898,1111111
7850000,22.199219,11111111111
7950000,62.152344,1111111111111111111111111111111
8050000,3.933594,1
8150000,56.191406,1111111111111111111111111111
8250000,50.747070,1111111111111111111111111
8350000,33.285156,1111111111111111
8450000,11.729492,11111
8550000,15.283203,1111111
8650000,50.948242,1111111111111111111111111
8750000,20.328125,1111111111
8850000,7.551758,111
8950000,28.339844,11111111111111
9050000,57.606445,1111111111111111111111111111
9150000,19.924805,111111111
9250000,0.766602,0
9350000,49.783203,111111111111111111111111
9450000,58.512695,11111111111111111111111111111
9550000,11.950195,11111
9650000,24.592773,111111111111
9750000,3.457031,1
9850000,42.354492,111111111111111111111
9950000,47.537109,11111111111111111111111
10050000,21.775391,1111111111
10150000,17.652344,11111111
10250000,2.086914,1
10350000,41.785156,11111111111111111111
10450000,53.231445,11111111111111111111111111
10550000,25.694336,111111111111
10650000,49.057617,111111111111111111111111
10750000,2.600586,1
10850000,17.120117,11111111
10950000,55.366211,111111111111111111111111111
11050000,48.517578,111111111111111111111111
11150000,22.641602,11111111111
11250000,61.981445,111111111111111111111111111111
11350000,36.087891,111111111111111111
11450000,19.607422,111111111
11550000,21.666992,1111111111
11650000,25.789062,111111111111
11750000,11.726562,11111
11850000,2.059570,1
11950000,48.021484,111111111111111111111111
12050000,30.027344,111111111111111
